Card Name,Franchise
Genie - Supportive Friend,Aladdin
Iago - Reappearing Parrot,Aladdin
Jasmine - Disguised,Aladdin
Abu - Mischievous Monkey,Aladdin
Divebomb,Aladdin
Iago - Loud-Mouthed Parrot,Aladdin
Jafar - Lamp Thief,Aladdin
Magical Aid,Aladdin
Genie - Excited Shipbuilder,Aladdin
Jafar - Royal Vizier,Aladdin
One Jump Ahead,Aladdin
Lead The Way,Aladdin
Stolen Scimitar,Aladdin
Aladdin - Prince Ali,Aladdin
Magic Carpet - Flying Rug,Aladdin
Aladdin - Resolute Swordsman,Aladdin
He's Got a Sword!,Aladdin
Morph - Space Goo,Mickey & Friends
